tweet_id,retweet_count,favorite_count 
666020888022790149,502,2538
892420643555336193,8321,38047
892177421306343426,6148,32663
891815181378084864,4069,24585
891689557279858688,8467,41400
891327558926688256,9163,39577
891087950875897856,3049,19872
890971913173991426,2020,11619
890729181411237888,18462,64196
890609185150312448,4188,27309
890240255349198849,7216,31330
892420643555336193,8321,38047
892177421306343426,6148,32663
891815181378084864,4069,24585
891689557279858688,8467,41400
891327558926688256,9163,39577
891087950875897856,3049,19872
890971913173991426,2020,11619
890729181411237888,18462,64196
890609185150312448,4188,27309
890240255349198849,7216,31330
890006608113172480,7178,30105
889880896479866881,4872,27299
889665388333682689,9834,47238
889638837579907072,4442,26655
889531135344209921,2201,14841
889278841981685760,5257,24782
888917238123831296,4404,28603
888804989199671297,4201,25107
888554962724278272,3475,19463
888078434458587136,3418,21366
887705289381826560,5277,29637
887517139158093824,11433,45439
887473957103951883,17787,67799
887343217045368832,10181,33087
887101392804085760,5840,30023
886983233522544640,7610,34519
886736880519319552,3213,11840
886680336477933568,4370,22018
886366144734445568,3134,20805
886267009285017600,4,116
886258384151887873,6155,27483
886054160059072513,105,0
885984800019947520,6640,32053
885528943205470208,6296,35328
885518971528720385,3680,20063
885311592912609280,18169,0
885167619883638784,4294,21531
884925521741709313,17876,76047
884876753390489601,5494,27423
884562892145688576,4598,23868
884441805382717440,5543,26507
884247878851493888,20083,71707
884162670584377345,2926,19984
883838122936631299,3379,21514
883482846933004288,9733,45090
883360690899218434,3630,22281
883117836046086144,6536,36504
882992080364220416,3846,23527
882762694511734784,4817,27797
882627270321602560,5967,27437
882268110199369728,11368,44147
882045870035918850,4870,28843
881906580714921986,3327,23883
881666595344535552,10461,49697
881633300179243008,7,124
881536004380872706,15637,48556
881268444196462592,5078,22681
880935762899988482,2733,16717
880872448815771648,3743,20895
880465832366813184,6156,28031
880221127280381952,4133,26577
880095782870896641,4272,27140
879862464715927552,3438,21932
879674319642796034,10,306
879492040517615616,3124,23021
879415818425184262,43448,104048
879376492567855104,3061,16483
879130579576475649,6705,0
879050749262655488,4633,22162
879008229531029506,2649,18658
878776093423087618,4053,19073
878604707211726852,7076,29735
878404777348136964,1268,0
878316110768087041,6535,0
878281511006478336,1268,7612
878057613040115712,6705,41333
877736472329191424,18756,78437
877611172832227328,79,0
877556246731214848,3745,22351
877316821321428993,5093,26928
877201837425926144,5489,26681
876838120628539392,3284,20349
876537666061221889,4565,23134
876484053909872640,2362,18457
876120275196170240,4617,27477
875747767867523072,4223,24804
875144289856114688,4853,21589
875097192612077568,5966,26996
875021211251597312,4653,25078
874680097055178752,4577,27382
874434818259525634,14522,0
874296783580663808,4048,25661
874057562936811520,3905,22316
874012996292530176,10268,34058
873580283840344065,3896,23861
873337748698140672,1565,0
873213775632977920,1565,7139
872967104147763200,5352,26985
872820683541237760,3655,14512
872620804844003328,3652,20523
872486979161796608,8935,40150
872261713294495745,6255,33765
872122724285648897,8051,33990
871879754684805121,11063,37502
871762521631449091,3450,20024
871515927908634625,3430,19977
871166179821445120,5667,0
871102520638267392,5470,20697
871032628920680449,3794,22421
870804317367881728,6169,33270
870726314365509632,3,119
870656317836468226,2631,12286
870374049280663552,26101,81961
870308999962521604,4141,21637
870063196459192321,8326,36329
869772420881756160,10001,42056
869702957897576449,6335,27999
869596645499047938,3127,15850
869227993411051520,3777,20297
868880397819494401,14476,65196
868639477480148993,2099,0
868622495443632128,5297,26594
868552278524837888,2099,10074
867900495410671616,4182,24072
867774946302451713,7349,33824
867421006826221569,2510,16045
867072653475098625,121,0
867051520902168576,7893,32126
866720684873056260,4834,20020
866686824827068416,3499,19278
866450705531457537,35458,121971
866334964761202691,14522,52456
866094527597207552,8423,0
865718153858494464,5652,25604
865359393868664832,5032,26460
865006731092295680,7737,27987
864873206498414592,8767,32283
864279568663928832,3059,14639
864197398364647424,9016,30198
863907417377173506,4182,20644
863553081350529029,4223,15333
863471782782697472,2480,0
863432100342583297,5320,23863
863427515083354112,97,2271
863079547188785154,1115,8792
863062471531167744,2480,8560
862831371563274240,5152,19224
862722525377298433,3568,17120
862457590147678208,5020,20618
862096992088072192,23595,74837
861383897657036800,10858,36241
861288531465048066,4214,17286
861005113778896900,3850,16804
860981674716409858,2188,0
860924035999428608,835,0
860563773140209665,2188,7558
860524505164394496,5369,23773
860276583193509888,3533,18417
860184849394610176,5944,16798
860177593139703809,31418,0
859924526012018688,4168,19696
859851578198683649,3572,15530
